frame_idx,count_ball,count_player,count_goalkeeper,count_referee,mean_player_speed_kmh,mean_goalkeeper_speed_kmh,ball_observed,ball_interpolated,possession_team_id,camera_dx_px,camera_dy_px
0,1,21,0,4,nan,nan,1,0,,0.0,0.0
1,1,21,0,4,0.40749509172331144,nan,1,0,,0.0,0.0
2,1,21,0,3,9.417007632021393,nan,1,0,,0.0,0.0
3,1,21,0,4,12.56340101627367,nan,1,0,,0.0,0.0
4,1,20,0,3,14.939707669895142,nan,1,0,,0.0,0.0
5,1,21,0,3,14.760074631444045,nan,1,0,,0.0,0.0
6,1,20,0,3,16.128536608535796,nan,1,0,,0.0,0.0
7,1,20,0,3,14.395414360100403,nan,1,0,,0.0,0.0
8,1,20,0,3,14.261486297473311,nan,1,0,,0.0,0.0
9,1,20,0,3,14.515308648347855,nan,1,0,,0.0,0.0
10,1,20,0,3,13.29356351075694,nan,1,0,,0.0,0.0
11,1,20,0,3,16.443331399932504,nan,1,0,,0.0,0.0
12,1,20,0,3,15.720770576968789,nan,1,0,,0.0,0.0
13,1,21,0,3,6290.98922615312,nan,1,0,,0.0,0.0
14,1,21,0,3,54.172990625458105,nan,1,0,,0.0,0.0
15,1,21,0,3,57.73534409701824,nan,1,0,1,0.0,0.0
16,1,21,0,3,6067.933102412416,nan,1,0,1,0.0,0.0
17,1,20,0,3,20.59834189619869,nan,1,0,1,0.0,0.0
18,1,21,0,3,18.245901712216437,nan,1,0,1,0.0,0.0
19,1,21,0,3,15.710368706578654,nan,1,0,1,0.0,0.0
20,1,21,0,3,16.160828174491012,nan,1,0,1,0.0,0.0
21,1,21,0,3,14.77476594437446,nan,1,0,1,0.0,0.0
22,1,21,0,3,15.622355895383018,nan,1,0,1,0.0,0.0
23,1,21,0,3,16.140157670847007,nan,1,0,1,0.0,0.0
24,1,20,0,3,16.301985388621688,nan,1,0,1,0.0,0.0
25,1,20,0,3,17.909058244898915,nan,1,0,1,0.0,0.0
26,1,20,0,3,15.69123112410307,nan,1,0,1,0.0,0.0
27,1,20,0,3,14.861136734824289,nan,1,0,1,0.0,0.0
28,1,20,0,3,12.895163564477116,nan,1,0,1,0.0,0.0
29,1,20,0,3,13.457336632534862,nan,1,0,1,0.0,0.0
30,1,20,0,3,14.66593211889267,nan,1,0,1,0.0,0.0
31,1,20,0,3,15.983309308765456,nan,1,0,1,0.0,0.0
32,1,20,0,3,14.306193164549768,nan,1,0,1,0.0,0.0
33,1,20,0,3,12.693342285230756,nan,1,0,1,0.0,0.0
34,1,20,0,3,12.327629992738366,nan,1,0,1,0.0,0.0
35,1,20,0,3,16.845691518858075,nan,1,0,1,0.0,0.0
36,1,20,0,3,16.236229844391346,nan,1,0,1,0.0,0.0
37,1,20,0,3,16.86695453384891,nan,1,0,1,0.0,0.0
