frame_idx,count_ball,count_player,count_goalkeeper,count_referee,mean_player_speed_kmh,ball_observed,ball_interpolated
132,0,19,0,0,nan,0,0
133,1,19,0,0,nan,1,0
134,0,20,0,0,nan,0,0
135,1,21,0,0,nan,1,0
136,1,20,0,0,nan,1,0
137,1,20,0,0,nan,1,0
138,1,20,0,0,nan,1,0
139,1,20,0,0,nan,1,0
140,0,21,0,0,nan,0,0
141,1,20,0,0,nan,1,0
142,1,19,0,0,nan,1,0
143,0,21,0,0,nan,0,0
144,1,23,0,0,nan,1,0
145,0,23,0,0,nan,0,0
146,0,24,0,0,nan,0,0
147,1,23,0,0,nan,1,0
148,1,23,0,0,nan,1,0
149,1,24,0,0,nan,1,0
150,1,24,0,0,nan,1,0
151,1,24,0,0,nan,1,0
152,1,22,0,0,nan,1,0
153,1,24,0,0,nan,1,0
154,1,24,0,0,nan,1,0
155,1,23,0,0,nan,1,0
156,1,24,0,0,nan,1,0
157,1,23,0,0,nan,1,0
158,0,24,0,0,nan,0,0
159,1,23,0,0,nan,1,0
160,1,24,0,0,nan,1,0
161,1,23,0,0,nan,1,0
162,1,25,0,0,nan,1,0
163,1,25,0,0,nan,1,0
164,1,25,0,0,nan,1,0
165,1,25,0,0,nan,1,0
166,0,24,0,0,nan,0,0
167,0,26,0,0,nan,0,0
168,0,26,0,0,nan,0,0
169,1,25,0,0,nan,1,0
170,1,26,0,0,nan,1,0
171,0,26,0,0,nan,0,0
172,0,25,0,0,nan,0,0
173,0,24,0,0,nan,0,0
174,0,23,0,0,nan,0,0
175,0,25,0,0,nan,0,0
176,0,25,0,0,nan,0,0
177,0,26,0,0,nan,0,0
178,0,26,0,0,nan,0,0
179,0,27,0,0,nan,0,0
180,1,27,0,0,nan,1,0
181,1,26,0,0,nan,1,0
182,1,25,0,0,nan,1,0
183,1,23,0,0,nan,1,0
184,1,24,0,0,nan,1,0
185,0,26,0,0,nan,0,0
186,0,27,0,0,nan,0,0
187,0,27,0,0,nan,0,0
188,0,26,0,0,nan,0,0
189,0,25,0,0,nan,0,0
190,0,25,0,0,nan,0,0
191,0,25,0,0,nan,0,0
192,0,24,0,0,nan,0,0
193,0,24,0,0,nan,0,0
194,0,26,0,0,nan,0,0
195,0,26,0,0,nan,0,0
196,0,27,0,0,nan,0,0
197,0,25,0,0,nan,0,0
198,0,24,0,0,nan,0,0
199,0,23,0,0,nan,0,0
200,0,23,0,0,nan,0,0
201,0,23,0,0,nan,0,0
202,0,23,0,0,nan,0,0
203,0,23,0,0,nan,0,0
204,0,23,0,0,nan,0,0
205,0,21,0,0,nan,0,0
206,0,22,0,0,nan,0,0
207,0,21,0,0,nan,0,0
208,0,22,0,0,nan,0,0
209,0,22,0,0,nan,0,0
210,0,23,0,0,nan,0,0
211,0,22,0,0,nan,0,0
212,0,22,0,0,nan,0,0
213,0,23,0,0,nan,0,0
214,0,23,0,0,nan,0,0
215,0,22,0,0,nan,0,0
216,0,21,0,0,nan,0,0
217,0,21,0,0,nan,0,0
218,0,23,0,0,nan,0,0
219,0,23,0,0,nan,0,0
220,0,23,0,0,nan,0,0
221,0,25,0,0,nan,0,0
222,0,25,0,0,nan,0,0
223,0,25,0,0,nan,0,0
224,0,25,0,0,nan,0,0
225,0,25,0,0,nan,0,0
226,1,25,0,0,nan,1,0
227,1,26,0,0,nan,1,0
228,1,26,0,0,nan,1,0
229,1,25,0,0,nan,1,0
230,1,25,0,0,nan,1,0
231,1,25,0,0,nan,1,0
232,0,25,0,0,nan,0,0
233,0,24,0,0,nan,0,0
234,0,23,0,0,nan,0,0
235,0,23,0,0,nan,0,0
236,0,23,0,0,nan,0,0
237,0,22,0,0,nan,0,0
238,0,23,0,0,nan,0,0
239,0,23,0,0,nan,0,0
240,0,24,0,0,nan,0,0
241,0,25,0,0,nan,0,0
242,1,25,0,0,nan,1,0
243,1,23,0,0,nan,1,0
244,1,24,0,0,nan,1,0
245,1,24,0,0,nan,1,0
246,1,24,0,0,nan,1,0
247,1,25,0,0,nan,1,0
248,1,23,0,0,nan,1,0
249,1,23,0,0,nan,1,0
250,1,22,0,0,nan,1,0
251,1,22,0,0,nan,1,0
252,0,23,0,0,nan,0,0
253,0,22,0,0,nan,0,0
254,0,23,0,0,nan,0,0
255,0,23,0,0,nan,0,0
256,0,22,0,0,nan,0,0
257,0,23,0,0,nan,0,0
258,0,24,0,0,nan,0,0
259,0,24,0,0,nan,0,0
260,0,22,0,0,nan,0,0
261,0,21,0,0,nan,0,0
262,0,23,0,0,nan,0,0
263,0,23,0,0,nan,0,0
264,0,23,0,0,nan,0,0
265,0,24,0,0,nan,0,0
266,0,22,0,0,nan,0,0
267,0,23,0,0,nan,0,0
268,0,23,0,0,nan,0,0
269,0,23,0,0,nan,0,0
270,0,22,0,0,nan,0,0
271,1,23,0,0,nan,1,0
272,0,23,0,0,nan,0,0
273,1,23,0,0,nan,1,0
274,1,23,0,0,nan,1,0
275,1,23,0,0,nan,1,0
276,0,23,0,0,nan,0,0
277,1,23,0,0,nan,1,0
278,1,23,0,0,nan,1,0
279,1,23,0,0,nan,1,0
280,0,23,0,0,nan,0,0
281,1,23,0,0,nan,1,0
282,0,22,0,0,nan,0,0
283,0,22,0,0,nan,0,0
284,0,22,0,0,nan,0,0
285,0,21,0,0,nan,0,0
286,0,21,0,0,nan,0,0
287,0,20,0,0,nan,0,0
288,0,20,0,0,nan,0,0
289,1,21,0,0,nan,1,0
290,1,22,0,0,nan,1,0
291,1,21,0,0,nan,1,0
292,1,23,0,0,nan,1,0
293,1,23,0,0,nan,1,0
294,1,23,0,0,nan,1,0
295,0,23,0,0,nan,0,0
296,0,21,0,0,nan,0,0
297,1,21,0,0,nan,1,0
298,0,23,0,0,nan,0,0
299,0,24,0,0,nan,0,0
300,1,22,0,0,nan,1,0
301,0,22,0,0,nan,0,0
302,0,22,0,0,nan,0,0
303,0,23,0,0,nan,0,0
304,0,24,0,0,nan,0,0
305,1,24,0,0,nan,1,0
306,0,24,0,0,nan,0,0
307,1,24,0,0,nan,1,0
308,0,23,0,0,nan,0,0
309,1,23,0,0,nan,1,0
310,0,24,0,0,nan,0,0
311,0,25,0,0,nan,0,0
312,0,24,0,0,nan,0,0
313,0,24,0,0,nan,0,0
314,0,24,0,0,nan,0,0
315,0,24,0,0,nan,0,0
316,0,23,0,0,nan,0,0
317,0,24,0,0,nan,0,0
318,0,23,0,0,nan,0,0
319,0,23,0,0,nan,0,0
320,0,23,0,0,nan,0,0
321,0,24,0,0,nan,0,0
322,0,23,0,0,nan,0,0
323,0,25,0,0,nan,0,0
324,0,24,0,0,nan,0,0
325,0,23,0,0,nan,0,0
326,0,21,0,0,nan,0,0
327,0,21,0,0,nan,0,0
328,0,21,0,0,nan,0,0
329,0,22,0,0,nan,0,0
330,0,21,0,0,nan,0,0
331,0,21,0,0,nan,0,0
332,0,22,0,0,nan,0,0
333,0,23,0,0,nan,0,0
334,0,22,0,0,nan,0,0
335,0,21,0,0,nan,0,0
336,0,21,0,0,nan,0,0
337,0,21,0,0,nan,0,0
338,0,21,0,0,nan,0,0
339,1,20,0,0,nan,1,0
340,0,20,0,0,nan,0,0
341,0,21,0,0,nan,0,0
342,0,21,0,0,nan,0,0
343,0,21,0,0,nan,0,0
344,0,19,0,0,nan,0,0
345,0,17,0,0,nan,0,0
346,0,19,0,0,nan,0,0
347,0,18,0,0,nan,0,0
348,0,22,0,0,nan,0,0
349,0,21,0,0,nan,0,0
350,0,23,0,0,nan,0,0
351,0,23,0,0,nan,0,0
352,0,23,0,0,nan,0,0
353,0,23,0,0,nan,0,0
354,0,23,0,0,nan,0,0
355,0,21,0,0,nan,0,0
356,0,23,0,0,nan,0,0
357,0,24,0,0,nan,0,0
358,0,24,0,0,nan,0,0
359,0,22,0,0,nan,0,0
360,0,21,0,0,nan,0,0
361,0,23,0,0,nan,0,0
362,0,20,0,0,nan,0,0
363,0,22,0,0,nan,0,0
364,0,22,0,0,nan,0,0
365,0,23,0,0,nan,0,0
366,0,24,0,0,nan,0,0
367,0,23,0,0,nan,0,0
368,0,23,0,0,nan,0,0
