frame_idx,count_ball,count_player,count_goalkeeper,count_referee,mean_player_speed_kmh,mean_goalkeeper_speed_kmh,ball_observed,ball_interpolated,possession_team_id,camera_dx_px,camera_dy_px
0,1,21,0,4,nan,nan,1,0,,0.0,0.0
1,1,21,0,4,0.4074248415210085,nan,1,0,,-6.103515625e-05,-7.62939453125e-06
2,1,21,0,3,9.616282151213714,nan,1,0,,-0.061431884765625,-0.002655029296875
3,1,21,0,4,12.563787869044713,nan,1,0,,-6.103515625e-05,-0.0003204345703125
4,1,20,0,3,16.528209920972586,nan,1,0,,-0.52960205078125,-0.0057373046875
5,1,21,0,3,15.677657593041658,nan,1,0,,-0.26080322265625,-0.0064239501953125
6,1,20,0,3,16.062105650547892,nan,1,0,,0.0203857421875,-0.0002288818359375
7,1,20,0,3,13.559886200353503,nan,1,0,,0.2337646484375,0.0174560546875
8,1,20,0,3,14.261018344201148,nan,1,0,,9.1552734375e-05,0.0001125335693359375
9,1,20,0,3,14.676412574015558,nan,1,0,,-0.05999755859375,0.00406646728515625
10,1,20,0,3,13.294855426065624,nan,1,0,,-0.000518798828125,0.000152587890625
11,1,20,0,3,16.489852856844664,nan,1,0,,-0.017120361328125,0.002300262451171875
12,1,20,0,3,15.996820461004972,nan,1,0,,-0.095794677734375,0.00988006591796875
13,1,21,0,3,6290.888736991212,nan,1,0,,-0.022674560546875,0.0037689208984375
14,1,21,0,3,54.26857249279107,nan,1,0,,-0.035003662109375,0.0023193359375
15,1,21,0,3,58.03814630423273,nan,1,0,,-0.10776519775390625,0.0007171630859375
16,1,21,0,3,6067.752656816904,nan,1,0,,0.0,-1.52587890625e-05
17,1,20,0,3,20.688487756066024,nan,1,0,,-0.02484893798828125,-0.00991058349609375
18,1,21,0,3,18.514354490675032,nan,1,0,,-0.072845458984375,-0.02147674560546875
19,1,21,0,3,15.82746342489762,nan,1,0,,-0.0333251953125,-0.008754730224609375
20,1,21,0,3,16.25554776550936,nan,1,0,,-0.038543701171875,-0.0044269561767578125
21,1,21,0,3,14.782089732055153,nan,1,0,,-0.002349853515625,-0.00043487548828125
22,1,21,0,3,15.621551991041217,nan,1,0,,0.000274658203125,3.0517578125e-05
23,1,21,0,3,16.139920790280616,nan,1,0,,0.0001220703125,-4.57763671875e-05
24,1,20,0,3,16.17147265188396,nan,1,0,,0.0607452392578125,-0.03763580322265625
25,1,20,0,3,17.80527326837182,nan,1,0,,0.038360595703125,-0.017242431640625
26,1,20,0,3,15.666707498487085,nan,1,0,,0.0113525390625,-0.009676933288574219
27,1,20,0,3,14.829650106797505,nan,1,0,,0.01966094970703125,-0.0242156982421875
28,1,20,0,3,12.482542428653687,nan,1,0,,0.152130126953125,-0.016527175903320312
29,1,20,0,3,13.274013438262045,nan,1,0,,0.1031036376953125,-0.0075531005859375
30,1,20,0,3,14.51844459073618,nan,1,0,,0.091766357421875,-0.00655364990234375
31,1,20,0,3,15.859087091870606,nan,1,0,,0.1531982421875,-0.01424407958984375
32,1,20,0,3,14.26339644100517,nan,1,0,,0.1405487060546875,-0.059497833251953125
33,1,20,0,3,12.583028526976705,nan,1,0,,0.156341552734375,-0.057643890380859375
34,1,20,0,3,11.991642623674124,nan,1,0,,0.27044677734375,-0.0084991455078125
35,1,20,0,3,16.547732387669384,nan,1,0,,0.2701416015625,-0.010587692260742188
36,1,20,0,3,16.380961851216853,nan,1,0,,0.12654876708984375,-0.14694976806640625
37,1,20,0,3,17.122592819854617,nan,1,0,,-0.3610382080078125,-0.13813209533691406
38,1,20,0,3,15.67188103753142,nan,1,0,,0.164581298828125,-0.09873199462890625
39,1,20,0,3,14.160258306423202,nan,1,0,,0.870269775390625,-0.05913734436035156
