frame_idx,count_ball,count_player,count_goalkeeper,count_referee,mean_player_speed_kmh,ball_observed,ball_interpolated
71,1,20,0,2,nan,1,0
72,1,20,0,2,nan,1,0
73,1,20,0,2,nan,1,0
74,1,20,0,2,nan,1,0
75,1,20,0,2,nan,1,0
76,1,21,0,1,nan,1,0
77,1,21,0,1,nan,1,0
78,1,21,0,1,nan,1,0
79,1,21,0,1,nan,1,0
80,1,21,0,1,nan,1,0
81,1,21,0,1,nan,1,0
82,1,21,0,1,nan,1,0
83,1,21,0,2,nan,1,0
84,1,21,0,2,nan,1,0
85,1,20,0,2,nan,1,0
86,1,21,0,1,nan,1,0
87,1,21,0,1,nan,1,0
88,1,21,0,1,nan,1,0
89,1,21,0,1,nan,1,0
90,1,20,0,2,nan,1,0
91,1,21,0,1,nan,1,0
92,1,21,0,1,nan,1,0
93,1,20,0,2,nan,1,0
94,1,20,0,2,nan,1,0
95,1,20,0,1,nan,1,0
96,1,20,0,2,nan,1,0
97,1,20,0,1,nan,1,0
98,1,19,0,3,nan,1,0
99,1,20,0,2,nan,1,0
100,1,20,0,2,nan,1,0
101,1,20,0,2,nan,1,0
102,1,20,0,2,nan,1,0
103,1,20,0,2,nan,1,0
104,1,20,0,1,nan,1,0
105,1,20,0,2,nan,1,0
106,1,20,0,2,nan,1,0
107,1,20,0,2,nan,1,0
108,1,20,0,2,nan,1,0
109,1,20,0,2,nan,1,0
110,1,20,0,2,nan,1,0
111,1,20,0,2,nan,1,0
112,1,20,0,2,nan,1,0
113,1,20,0,2,nan,1,0
114,1,20,0,1,nan,1,0
115,1,20,0,2,nan,1,0
116,1,20,0,2,nan,1,0
117,1,20,0,2,nan,1,0
118,1,20,0,2,nan,1,0
119,1,20,0,2,nan,1,0
120,0,20,0,2,nan,0,0
121,0,20,0,2,nan,0,0
122,0,20,0,2,nan,0,0
123,0,19,0,2,nan,0,0
124,0,19,0,2,nan,0,0
125,0,19,0,2,nan,0,0
126,1,20,0,2,nan,1,0
127,1,20,0,2,nan,1,0
128,1,20,0,2,nan,1,0
129,1,20,0,2,nan,1,0
